"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-05-19","FL","A+",2129,2129,56,,8744,8744,,191,,,668911,38941,,,754767,,,45427,,612,0,,,,,63148,,700701,30481,700701,30481,,,,,717162,39452,819927,73803
"2020-05-18","FL","A+",2073,2073,24,,8553,8553,,75,,,629970,23766,,,683219,,,44815,,654,0,,,,,60938,,670220,19312,670220,19312,,,,,677710,24629,746124,0
"2020-05-17","FL","A+",2049,2049,9,,8478,8478,,85,,,606204,20968,,,683219,,,44161,,1136,0,,,,,60938,,650908,21549,650908,21549,,,,,653081,22286,746124,746124
"2020-05-16","FL","A+",2040,2040,49,,8393,8393,,400,,,585236,19609,,,,,,43025,,480,0,,,,,,,629359,6606,629359,6606,,,,,630795,21221,,0
"2020-05-15","FL","A+",1991,1991,43,,7993,7993,,0,,,565627,0,,,,,,42545,,786,0,,,,,,,622753,15534,622753,15534,,,,,609574,14096,,0
"2020-05-14","FL","A+",1948,1948,50,,7993,7993,,158,,,565627,13266,,,,,,41759,,792,0,,,,,,,607219,15700,607219,15700,,,,,595478,15874,,0
"2020-05-13","FL","A+",1898,1898,49,,7835,7835,,181,,,552361,14680,,,,,,40967,,799,0,,,,,,,591519,14557,591519,14557,,,,,579604,579604,,0
"2020-05-12","FL","A+",1849,1849,44,,7654,7654,,196,,,537681,17606,,,,,,40168,,606,0,,,,,,,576962,21155,576962,21155,,,,,,0,,0
"2020-05-11","FL","B",1805,1805,14,,7458,7458,,54,,,520075,21723,,,,,,39562,,383,0,,,,,,,555807,17780,555807,17780,,,,,,0,,0
"2020-05-10","FL","B",1791,1791,6,,7404,7404,,79,,,498352,10622,,,,,,39179,,681,0,,,,,,,538027,13684,538027,13684,,,,,,0,,0
"2020-05-09","FL","B",1785,1785,47,,7325,7325,,168,,,487730,13588,,,,,,38498,,765,0,,,,,,,524343,16745,524343,16745,,,,,,0,,0
"2020-05-08","FL","C",1738,1738,71,,7157,7157,,167,,,474142,20020,,,,,,37733,,344,0,,,,,,,507598,17302,507598,17302,,,,,,0,,0
"2020-05-07","FL","C",1667,1667,62,,6990,6990,,214,,,454122,12073,,,,,,37389,,625,0,,,,,,,490296,13811,490296,13811,,,,,,0,,0
"2020-05-06","FL","C",1605,1605,69,,6776,6776,,230,,,442049,13797,,,,,,36764,,581,0,,,,,,,476485,14803,476485,14803,,,,,,0,,0
"2020-05-05","FL","C",1536,1536,113,,6546,6546,,217,,,428252,20879,,,,,,36183,,574,0,,,,,,,461682,21067,461682,21067,,,,,,0,,0
"2020-05-04","FL","C",1423,1423,20,,6329,6329,,85,,,407373,15262,,,,,,35609,,768,0,,,,,,,440615,15372,440615,15372,,,,,,0,,0
"2020-05-03","FL","C",1403,1403,15,,6244,6244,,299,,,392111,11562,,,,,,34841,,632,0,,,,,,,425243,12393,425243,12393,,,,,,0,,0
"2020-05-02","FL","C",1388,,74,,5945,5945,,150,,,380549,12578,,,,,,34209,,703,0,,,,,,,412850,16386,412850,16386,,,,,,0,,0
"2020-05-01","FL","C",1314,,24,,5795,5795,,0,,,367971,19256,,,,,,33506,,977,0,,,,,,,396464,18225,396464,18225,,,,,,0,,0
"2020-04-30","FL","C",1290,,50,,5795,5795,,171,,,348715,8420,,,,,,32529,,514,0,,,,,,,378239,9670,378239,9670,,,,,,0,,0
"2020-04-29","FL","C",1240,,86,,5624,5624,,358,,,340295,6266,,,,,,32015,,343,0,,,,,,,368569,7013,368569,7013,,,,,,0,,0
"2020-04-28","FL","C",1154,,53,,5266,5266,,55,,,334029,9704,,,,,,31672,,748,0,,,,,,,361556,11763,361556,11763,,,,,,0,,0
"2020-04-27","FL","C",1101,,7,,5211,5211,,56,,,324325,11240,,,,,,30924,,519,0,,,,,,,349793,8877,349793,8877,,,,,,0,,0
"2020-04-26","FL","C",1094,,19,,5155,5155,,110,,,313085,10825,,,,,,30405,,795,0,,,,,,,340916,16900,340916,16900,,,,,,0,,0
"2020-04-25","FL","C",1075,,44,,5045,5045,,157,,,302260,15475,,,,,,29610,,734,0,,,,,,,324016,13407,324016,13407,,,,,,0,,0
"2020-04-24","FL","A",1031,,52,,4888,4888,,195,,,286785,18909,,,,,,28876,,1214,0,,,,,,,310609,18611,310609,18611,,,,,,0,,0
"2020-04-23","FL","A",979,,69,,4693,4693,,224,,,267876,7558,,,,,,27662,,697,0,,,,,,,291998,11064,291998,11064,,,,,,0,,0
"2020-04-22","FL","A",910,,54,,4469,4469,,234,,,260318,10754,,,,,,26965,,859,0,,,,,,,280934,12234,280934,12234,,,,,,0,,0
"2020-04-21","FL","A",856,,50,,4235,4235,,225,,,249564,9999,,,,,,26106,,746,0,,,,,,,268700,10579,268700,10579,,,,,,0,,0
"2020-04-20","FL","A",806,,25,,4010,4010,,80,,,239565,9482,,,,,,25360,,713,0,,,,,,,258121,9218,258121,9218,,,,,,0,,0
"2020-04-19","FL","A",781,,27,,3930,3930,,88,,,230083,8825,,,,,,24647,,741,0,,,,,,,248903,9158,248903,9158,,,,,,0,,0
"2020-04-18","FL","A",754,,55,,3842,3842,,177,,,221258,10540,,,,,,23906,,1083,0,,,,,,,239745,12795,239745,12795,,,,,,0,,0
"2020-04-17","FL","A",699,,53,,3665,3665,,205,,,210718,14367,,,,,,22823,,1199,0,,,,,,,226950,15461,226950,15461,,,,,,0,,0
"2020-04-16","FL","A",646,,37,,3460,3460,,116,,,196351,5353,,,,,,21624,,897,0,,,,,,,211489,9625,211489,9625,,,,,,0,,0
"2020-04-15","FL","A",609,,72,,3344,3344,,284,,,190998,9185,,,,,,20727,,592,0,,,,,,,201864,6421,201864,6421,,,,,,0,,0
"2020-04-14","FL","A",537,,54,,3060,3060,,227,,,181813,6207,,,,,,20135,,922,0,,,,,,,195443,8691,195443,8691,,,,,,0,,0
"2020-04-13","FL","A",483,,18,,2833,2833,,61,,,175606,12208,,,,,,19213,,809,0,,,,,,,186752,8697,186752,8697,,,,,,0,,0
"2020-04-12","FL","A",465,,27,,2772,2772,,111,,,163398,8959,,,,,,18404,,1064,0,,,,,,,178055,11251,178055,11251,,,,,,0,,0
"2020-04-11","FL","A",438,,48,,2661,2661,,174,,,154439,9140,,,,,,17340,,1088,0,,,,,,,166804,9442,166804,9442,,,,,,0,,0
"2020-04-10","FL","A",390,,36,,2487,2487,,219,,,145299,9114,,,,,,16252,,1033,0,,,,,,,157362,14011,157362,14011,,,,,,0,,0
"2020-04-09","FL","A",354,,45,,2268,2268,,206,,,136185,8506,,,,,,15219,,1046,0,,,,,,,143351,6493,143351,6493,,,,,,0,,0
"2020-04-08","FL","A",309,,13,,2062,2062,,63,,,127679,4264,,,,,,14173,,1006,0,,,,,,,136858,11510,136858,11510,,,,,,0,,0
"2020-04-07","FL","A",296,,60,,1999,1999,,317,,,123415,13465,,,,,,13167,,1159,0,,,,,,,125348,11063,125348,11063,,,,,,0,,0
"2020-04-06","FL","A",236,,18,,1682,1682,,110,,,109950,8697,,,,,,12008,,763,0,,,,,,,114285,7018,114285,7018,,,,,,0,,0
"2020-04-05","FL","A",218,,27,,1572,1572,,110,,,101253,10297,,,,,,11245,,1148,0,,,,,,,107267,12143,107267,12143,,,,,,0,,0
"2020-04-04","FL","A",191,,28,,1462,1462,,175,,,90956,8819,,,,,,10097,,1281,0,,,,,,,95124,10738,95124,10738,,,,,,0,,0
"2020-04-03","FL","A",163,,35,,1287,1287,,164,,,82137,12851,,,,,,8816,,1268,0,,,,,,,84386,12683,84386,12683,,,,,,0,,0
"2020-04-02","FL","A",128,,41,,1123,1123,,174,,,69286,9757,,,,,,7548,,1032,0,,,,,,,71703,8444,71703,8444,,,,,,0,,0
"2020-04-01","FL","A",87,,10,,949,949,,126,,,59529,5244,,,,,,6516,,904,0,,,,,,,63259,8213,63259,8213,,,,,,0,,0
"2020-03-31","FL","A",77,,14,,823,823,,171,,,54285,6060,,,,,,5612,,852,0,,,,,,,55046,6927,55046,6927,,,,,,0,,0
"2020-03-30","FL","A",63,,7,,652,652,,58,,,48225,9155,,,,,,4760,,876,0,,,,,,,48119,7137,48119,7137,,,,,,0,,0
"2020-03-29","FL","A",56,,2,,594,594,,68,,,39070,3704,,,,,,3884,,705,0,,,,,,,40982,6375,40982,6375,,,,,,0,,0
"2020-03-28","FL","A",54,,20,,526,526,,70,,,35366,7180,,,,,,3179,,659,0,,,,,,,34607,6244,34607,6244,,,,,,0,,0
"2020-03-27","FL","A",34,,6,,456,456,,50,,,28186,4445,,,,,,2520,,535,0,,,,,,,28363,5626,28363,5626,,,,,,0,,0
"2020-03-26","FL","A",28,,6,,406,406,,90,,,23741,8367,,,,,,1985,,497,0,,,,,,,22737,6902,22737,6902,,,,,,0,,0
"2020-03-25","FL","A",22,,4,,316,316,,57,,,15374,2247,,,,,,1488,,283,0,,,,,,,15835,2881,15835,2881,,,,,,0,,0
"2020-03-24","FL","A",18,,4,,259,259,,42,,,13127,2064,,,,,,1205,,176,0,,,,,,,12954,1670,12954,1670,,,,,,0,,0
"2020-03-23","FL","A",14,,1,,217,217,,32,,,11063,3073,,,,,,1029,,298,0,,,,,,,11284,2797,11284,2797,,,,,,0,,0
"2020-03-22","FL",,13,,1,,185,185,,27,,,7990,1411,,,,,,731,,203,0,,,,,,,8487,2295,8487,2295,,,,,,0,,0
"2020-03-21","FL",,12,,2,,158,158,,158,,,6579,4709,,,,,,528,,142,0,,,,,,,6192,1419,6192,1419,,,,,,0,,0
"2020-03-20","FL",,10,,2,,,,,0,,,1870,337,,,,,,386,,76,0,,,,,,,4773,1102,4773,1102,,,,,,0,,0
"2020-03-19","FL",,8,,1,,,,,0,,,1533,308,,,,,,310,,99,0,,,,,,,3671,1055,3671,1055,,,,,,0,,0
"2020-03-18","FL",,7,,1,,,,,0,,,1225,285,,,,,,211,,62,0,,,,,,,2616,704,2616,704,,,,,,0,,0
"2020-03-17","FL",,6,,2,,,,,0,,,940,256,,,,,,149,,27,0,,,,,,,1912,591,1912,591,,,,,,0,,0
"2020-03-16","FL",,4,,0,,,,,0,,,684,6,,,,,,122,,31,0,,,,,,,1321,181,1321,181,,,,,,0,,0
"2020-03-15","FL",,4,,1,,,,,0,,,678,200,,,,,,91,,40,0,,,,,,,1140,436,1140,436,,,,,,0,,0
"2020-03-14","FL",,3,,1,,,,,0,,,478,0,,,,,,51,,20,0,,,,,,,704,199,704,199,,,,,,0,,0
"2020-03-13","FL",,2,,0,,,,,0,,,478,177,,,,,,31,,5,0,,,,,,,505,118,505,118,,,,,,0,,0
"2020-03-12","FL",,2,,0,,,,,0,,,301,0,,,,,,26,,6,0,,,,,,,387,53,387,53,,,,,,0,,0
"2020-03-11","FL",,2,,2,,,,,0,,,301,79,,,,,,20,,2,0,,,,,,,334,71,334,71,,,,,,0,,0
"2020-03-10","FL",,,,0,,,,,0,,,222,82,,,,,,18,,5,0,,,,,,,263,84,263,84,,,,,,0,,0
"2020-03-09","FL",,,,0,,,,,0,,,140,22,,,,,,13,,1,0,,,,,,,179,36,179,36,,,,,,0,,0
"2020-03-08","FL",,,,0,,,,,0,,,118,18,,,,,,12,,4,0,,,,,,,143,27,143,27,,,,,,0,,0
"2020-03-07","FL",,,,0,,,,,0,,,100,45,,,,,,8,,0,0,,,,,,,116,48,116,48,,,,,,0,,0
"2020-03-06","FL",,,,0,,,,,0,,,55,24,,,,,,8,,1,0,,,,,,,68,27,68,27,,,,,,0,,0
"2020-03-05","FL",,,,0,,,,,0,,,31,7,,,,,,7,,4,0,,,,,,,41,19,41,19,,,,,,0,,0
"2020-03-04","FL",,,,0,,,,,0,,,24,24,,,,,,3,,1,0,,,,,,,22,3,22,3,,,,,,0,,0
"2020-03-03","FL",,,,0,,,,,0,,,,0,,,,,,2,,2,0,,,,,,,19,4,19,4,,,,,,0,,0
"2020-03-02","FL",,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,15,0,15,0,,,,,,0,,0
"2020-03-01","FL",,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,15,0,15,0,,,,,,0,,0
"2020-02-29","FL",,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,15,0,15,0,,,,,,0,,0
"2020-02-28","FL",,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,15,0,15,0,,,,,,0,,0
"2020-02-27","FL",,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,15,0,15,0,,,,,,0,,0
"2020-02-26","FL",,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,15,0,15,0,,,,,,0,,0
"2020-02-25","FL",,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,15,1,15,1,,,,,,0,,0
"2020-02-24","FL",,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,14,0,14,0,,,,,,0,,0
"2020-02-23","FL",,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,14,0,14,0,,,,,,0,,0
"2020-02-22","FL",,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,14,1,14,1,,,,,,0,,0
"2020-02-21","FL",,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,13,0,13,0,,,,,,0,,0
"2020-02-20","FL",,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,13,0,13,0,,,,,,0,,0
"2020-02-19","FL",,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,13,0,13,0,,,,,,0,,0
"2020-02-18","FL",,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,13,0,13,0,,,,,,0,,0
"2020-02-17","FL",,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,13,1,13,1,,,,,,0,,0
"2020-02-16","FL",,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,12,0,12,0,,,,,,0,,0
"2020-02-15","FL",,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,12,3,12,3,,,,,,0,,0
"2020-02-14","FL",,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,9,0,9,0,,,,,,0,,0
"2020-02-13","FL",,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,9,1,9,1,,,,,,0,,0
"2020-02-12","FL",,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,8,0,8,0,,,,,,0,,0
"2020-02-11","FL",,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,8,1,8,1,,,,,,0,,0
"2020-02-10","FL",,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,7,0,7,0,,,,,,0,,0
"2020-02-09","FL",,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,7,0,7,0,,,,,,0,,0
"2020-02-08","FL",,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,7,1,7,1,,,,,,0,,0
"2020-02-07","FL",,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,6,0,6,0,,,,,,0,,0
"2020-02-06","FL",,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,6,0,6,0,,,,,,0,,0
"2020-02-05","FL",,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,6,0,6,0,,,,,,0,,0
"2020-02-04","FL",,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,6,2,6,2,,,,,,0,,0
"2020-02-03","FL",,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,4,0,4,0,,,,,,0,,0
"2020-02-02","FL",,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,4,0,4,0,,,,,,0,,0
"2020-02-01","FL",,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,4,0,4,0,,,,,,0,,0
"2020-01-31","FL",,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,4,3,4,3,,,,,,0,,0
"2020-01-30","FL",,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,1,0,1,0,,,,,,0,,0
"2020-01-29","FL",,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,1,1,1,0,,,,,,0,,0
